loc,dow,hr,traffic
AU,5,19,0.2182155350318471
AU,5,20,0.27602889171974515
AU,5,21,0.3480976114649682
AU,5,22,0.40398429936305746
AU,5,23,0.4472320382165605
AU,6,0,0.4825433184713375
AU,6,1,0.500815515923567
AU,6,2,0.5180802675159234
AU,6,3,0.5405291656050953
AU,6,4,0.5587271783439491
AU,6,5,0.5742816878980891
AU,6,6,0.5831591082802545
AU,6,7,0.5737185350318476
AU,6,8,0.5761067515923567
AU,6,9,0.6064550700636937
AU,6,10,0.640242121019108
AU,6,11,0.6464613121019107
AU,6,12,0.6070683312101912
AU,6,13,0.5240411146496815
AU,6,14,0.43138911464968155
AU,6,15,0.3384086496815286
AU,6,16,0.2754907197452229
AU,6,17,0.22262049044585988
AU,6,18,0.1963116815286625
AU,6,19,0.2056333057324841
AU,6,20,0.2540533949044586
AU,6,21,0.3270515796178347
AU,6,22,0.3914020000000001
AU,6,23,0.4409258598726117
BR,0,0,0.7854921592356687
BR,0,1,0.7778269108280256
BR,0,2,0.6800501401273883
BR,0,3,0.5602799872611461
BR,0,4,0.4220774713375797
BR,0,5,0.3048581146496814
BR,0,6,0.21814799363057327
BR,0,7,0.1645545987261146
BR,0,8,0.14351331847133755
BR,0,9,0.16367351592356688
BR,0,10,0.2182249617834395
BR,0,11,0.2954657261146498
BR,0,12,0.37477930573248414
BR,0,13,0.4488743375796179
BR,0,14,0.5139625159235668
BR,0,15,0.5650557324840761
BR,0,16,0.6125855923566879
BR,0,17,0.6524910445859874
BR,0,18,0.6767472675159235
BR,0,19,0.7254024140127389
BR,0,20,0.7384276114649685
BR,0,21,0.7490809171974524
BR,0,22,0.7908891910828028
BR,0,23,0.8341607961783438
BR,1,0,0.8398386496815287
BR,1,1,0.78290421656051
BR,1,2,0.6421958280254778
BR,1,3,0.49303522292993623
BR,1,4,0.3452342484076432
BR,1,5,0.2436583949044585
BR,1,6,0.17794539490445857
BR,1,7,0.14185981528662422
BR,1,8,0.14451835031847135
BR,1,9,0.19295346496815283
BR,1,10,0.2570605796178343
BR,1,11,0.32882266242038216
BR,1,12,0.3840807898089174
BR,1,13,0.42957826751592365
BR,1,14,0.46611643312101897
BR,1,15,0.5130738152866241
BR,1,16,0.5565338025477703
BR,1,17,0.5790522738853503
BR,1,18,0.5851541974522295
BR,1,19,0.5832575031847137
BR,1,20,0.5937766624203819
BR,1,21,0.6435709108280256
BR,1,22,0.7295613248407642
BR,1,23,0.817534089171975
BR,2,0,0.8518185859872609
BR,2,1,0.7883137515923563
BR,2,2,0.6496234076433122
BR,2,3,0.4842949554140129
BR,2,4,0.33449610828025467
BR,2,5,0.23407640764331197
BR,2,6,0.17363514649681522
BR,2,7,0.14081157692307694
BR,2,8,0.15014155769230764
BR,2,9,0.2018074743589743
BR,2,10,0.2655594358974358
BR,2,11,0.3339730064102564
BR,2,12,0.3865613782051282
BR,2,13,0.42721987179487175
BR,2,14,0.4639719358974358
BR,2,15,0.5064587820512823
BR,2,16,0.556600705128205
BR,2,17,0.5832817564102561
BR,2,18,0.5835727692307692
BR,2,19,0.5872045705128206
BR,2,20,0.603608878205128
BR,2,21,0.6467629230769228
BR,2,22,0.7297813653846157
BR,2,23,0.808753826923077
BR,3,0,0.8516834230769229
BR,3,1,0.8150151025641021
BR,3,2,0.675650230769231
BR,3,3,0.4943730320512819
BR,3,4,0.33892844871794875
BR,3,5,0.23798227564102561
BR,3,6,0.17379110897435887
BR,3,7,0.1401763846153846
BR,3,8,0.14951147435897427
BR,3,9,0.20257673076923077
BR,3,10,0.26496546153846173
BR,3,11,0.3332979487179487
BR,3,12,0.38779546153846145
BR,3,13,0.4278901794871793
BR,3,14,0.46599646153846197
BR,3,15,0.5091149871794872
BR,3,16,0.5509742115384616
BR,3,17,0.5763782371794871
BR,3,18,0.5757522692307692
BR,3,19,0.5783848846153846
BR,3,20,0.5945295192307697
BR,3,21,0.637698217948718
BR,3,22,0.7393016153846154
BR,3,23,0.8320893525641025
BR,4,0,0.8702016217948718
BR,4,1,0.8198286282051281
BR,4,2,0.6770221217948714
BR,4,3,0.48859618589743586
BR,4,4,0.337801967948718
BR,4,5,0.237902012820513
BR,4,6,0.17344078846153846
BR,4,7,0.14029080128205135
BR,4,8,0.1483748333333334
BR,4,9,0.19807937820512825
BR,4,10,0.2603628012820513
BR,4,11,0.3297030833333335
BR,4,12,0.3808114871794871
BR,4,13,0.42276104487179494
BR,4,14,0.4547279679487177
BR,4,15,0.5022113012820513
BR,4,16,0.5414496217948719
BR,4,17,0.5645171666666667
BR,4,18,0.5651774230769231
BR,4,19,0.5662375961538461
BR,4,20,0.5776515576923078
BR,4,21,0.6289104358974359
BR,4,22,0.7265493012820515
BR,4,23,0.8124840128205124
BR,5,0,0.856976967948718
BR,5,1,0.8099015705128207
BR,5,2,0.6719660384615384
BR,5,3,0.4963748012820515
BR,5,4,0.3442324038461537
BR,5,5,0.24169657051282045
BR,5,6,0.1797787307692306
BR,5,7,0.14639723076923084
BR,5,8,0.15120773885350322
BR,5,9,0.19759098726114652
BR,5,10,0.25822947133757945
BR,5,11,0.3265463375796179
BR,5,12,0.37855449044585987
BR,5,13,0.4200785222929936
BR,5,14,0.4527856815286621
BR,5,15,0.49787454777070034
BR,5,16,0.5379408598726116
BR,5,17,0.5574891146496812
BR,5,18,0.5569937261146497
BR,5,19,0.5550930254777069
BR,5,20,0.5591615923566876
BR,5,21,0.6039682038216563
BR,5,22,0.6677191146496815
BR,5,23,0.7282040955414012
BR,6,0,0.7685722292993633
BR,6,1,0.7522939617834397
BR,6,2,0.6604986751592358
BR,6,3,0.5293566178343948
BR,6,4,0.3869282292993631
BR,6,5,0.27840171974522293
BR,6,6,0.2031190573248408
BR,6,7,0.15813985987261145
