loc,mon,mean_target,sd_target,n
ID,10,0.5750785448028671,0.16582834005383149,2232
ID,11,0.5813334509259268,0.1863361055936645,2160
ID,12,0.6591794265232982,0.1776258668291824,2232
IN,1,0.5909358181003588,0.2340910804766804,2232
IN,2,0.6054629921568642,0.23768623302685654,2040
IN,3,0.612177952508961,0.24201000510014709,2232
IN,4,0.6354872120370364,0.23348527951354217,2160
IN,5,0.6086219354838699,0.23484263138549774,2232
IN,6,0.5957517000000004,0.2322861299964146,2160
IN,7,0.5751378696236559,0.2261979378755209,2232
IN,8,0.6072405215053776,0.2372828445002303,2232
IN,9,0.5762321885132003,0.2217077988635146,2159
IN,10,0.5843405156810031,0.22700138306653136,2232
IN,11,0.5553532291666664,0.24442710492355138,2160
IN,12,0.5940356944444444,0.23477041705345622,2232
IT,1,0.3664074977598569,0.18376546758445744,2232
IT,2,0.33475530098039247,0.1746400232181381,2040
IT,3,0.3325497450716846,0.16458056845452568,2232
IT,4,0.3264550041666666,0.16961389913454175,2160
IT,5,0.33317476433691745,0.1793451354067248,2232
IT,6,0.38749042314814824,0.18055101704436888,2160
IT,7,0.4933444345878141,0.18921148998697523,2232
IT,8,0.4183886245519708,0.18456989676420385,2232
IT,9,0.3766213603520149,0.18904561628953917,2159
IT,10,0.3694535730286737,0.19025401244584242,2232
IT,11,0.338051681481482,0.17743588811688604,2160
IT,12,0.3599091129032255,0.17294461788019655,2232
JP,1,0.5770022858422944,0.1734019905222545,2232
JP,2,0.53726015245098,0.1814403452511112,2040
JP,3,0.5500249283154129,0.16114221155566,2232
JP,4,0.5708352199074075,0.1635913861065812,2160
JP,5,0.5550908503584232,0.15851936994183016,2232
JP,6,0.5520903305555555,0.16128175079248486,2160
JP,7,0.5548278817204297,0.15440956412794907,2232
JP,8,0.623652087813619,0.1480030396632211,2232
JP,9,0.568652682723483,0.15853880696028033,2159
JP,10,0.5432938646953409,0.15816772205732366,2232
JP,11,0.4542451657407412,0.17631327143883402,2160
JP,12,0.5216969619175625,0.16328007973046224,2232
KR,1,0.5763121384408594,0.18140897091523225,2232
KR,2,0.5734349593137267,0.17519057158865442,2040
KR,3,0.5858090035842294,0.189909309856887,2232
KR,4,0.5639914541666666,0.1864955888138942,2160
KR,5,0.5769842889784949,0.17697692442704757,2232
KR,6,0.6181113041666668,0.18030928419299308,2160
KR,7,0.6367733633512541,0.17806283229408867,2232
KR,8,0.6357429946236554,0.17100609732327982,2232
KR,9,0.5785101264474299,0.18179487796539928,2159
KR,10,0.5927356536738356,0.17954709945590816,2232
KR,11,0.5612548490740734,0.19442241888770626,2160
KR,12,0.570895793458781,0.18023066820248815,2232
MX,1,0.5498720479390679,0.2214862813889278,2232
MX,2,0.5234571779411765,0.225705283891563,2040
MX,3,0.5198476765232991,0.22307008848522308,2232
MX,4,0.5132506101851853,0.2186653904978824,2160
MX,5,0.4769002688172045,0.19367318234291808,2232
MX,6,0.5042776374999993,0.2044439686772752,2160
MX,7,0.4820148163082427,0.22099775460830265,2232
MX,8,0.4907558378136198,0.21677771737336848,2232
MX,9,0.5428851037517374,0.2208350328983605,2159
MX,10,0.5158741317204315,0.23484740719160033,2232
MX,11,0.4484985060185182,0.25376308264329184,2160
MX,12,0.5527384874551976,0.22704387160367318,2232
NG,1,0.3275554184587803,0.16412577836557912,2232
NG,2,0.3513726328431376,0.16267802729588537,2040
NG,3,0.38209101344086055,0.15633558257691277,2232
NG,4,0.33978524907407454,0.1756162973824141,2160
NG,5,0.3321443830645165,0.14613481655162827,2232
NG,6,0.3284532175925932,0.13106688827365115,2160
NG,7,0.37367751299283064,0.1570007631296502,2232
NG,8,0.401986847222223,0.15213950750788197,2232
NG,9,0.419226495599815,0.15796852325867694,2159
NG,10,0.368068187724014,0.13150833509255572,2232
NG,11,0.3128109064814815,0.13476617909849406,2160
NG,12,0.36458761738351236,0.1495076968765637,2232
NL,1,0.6789918060035844,0.15700032500103264,2232
NL,2,0.6591404303921572,0.15482933821216613,2040
NL,3,0.6682478561827953,0.1526409488290596,2232
NL,4,0.6787674467592589,0.1473991376379088,2160
NL,5,0.6616360528673847,0.15209847345895966,2232
NL,6,0.6278557185185192,0.1495612693868201,2160
NL,7,0.6545968870967743,0.14482167954887193,2232
NL,8,0.7165328678315412,0.13821885865947428,2232
NL,9,0.6969354608615098,0.1507174444311338,2159
NL,10,0.6547267777777778,0.15584278829955733,2232
NL,11,0.5780833300925916,0.18522298913558308,2160
NL,12,0.6675846698028667,0.15517566402451005,2232
SG,1,0.6682702558243734,0.17712638560597704,2232
SG,2,0.6132427666666668,0.1993787363219249,2040
SG,3,0.6522597074372747,0.17605424720124097,2232
SG,4,0.6761414351851851,0.1828311658179397,2160
SG,5,0.6340504390681004,0.17292475193038578,2232
SG,6,0.6131117,0.21410956489880364,2160
SG,7,0.7033787204301084,0.16240993200360418,2232
SG,8,0.6995790224014338,0.1642818665957046,2232
SG,9,0.6466467378415957,0.18017223744475616,2159
SG,10,0.6177824713261638,0.19338257458506755,2232
SG,11,0.5792430583333333,0.19306961872897607,2160
SG,12,0.6665795094085998,0.17945804278689403,2232
US,1,0.6798980748207895,0.14479287909672553,2232
US,2,0.6164248632352941,0.16958678399329707,2040
US,3,0.6543604422043019,0.14142555763126255,2232
US,4,0.662278579629628,0.13028535415109838,2160
US,5,0.5998394381720423,0.11741270959625649,2232
US,6,0.6378906013888878,0.12751908679151377,2160
US,7,0.6556094202508957,0.14428714791140246,2232
US,8,0.6539961541218644,0.152748066027632,2232
US,9,0.6751844163964801,0.1440436188338355,2159
US,10,0.6273502974910383,0.13841036386144126,2232
US,11,0.5400409537037035,0.18824911549375564,2160
US,12,0.6442651541218636,0.1618747007596255,2232
VN,1,0.5798243216845888,0.2139045710314411,2232
VN,2,0.5636635406862742,0.20739005562083787,2040
VN,3,0.580061879928316,0.21872184667849243,2232
VN,4,0.5724526319444448,0.20541358672179225,2160
VN,5,0.5776669946236568,0.20851637197698109,2232
VN,6,0.5975513050925925,0.20311733851807914,2160
VN,7,0.6162079224910394,0.2070539158161369,2232
VN,8,0.5949852267025093,0.2052657333081686,2232
VN,9,0.5631875766558594,0.20508233859552924,2159
VN,10,0.5675238848566315,0.20894919680302895,2232
VN,11,0.5363928074074081,0.2182188976901545,2160
VN,12,0.5727303947132618,0.2090365873531985,2232
ZA,1,0.5217405080645152,0.21404492223168495,2232
ZA,2,0.5246729034313727,0.22988544436982142,2040
ZA,3,0.542981815860215,0.20903591623273773,2232
ZA,4,0.5460153634259254,0.2115957598458329,2160
ZA,5,0.4591592280465948,0.19759867486799618,2232
ZA,6,0.4166037615740737,0.19135724040434043,2160
ZA,7,0.49205131854838663,0.1961951248730778,2232
ZA,8,0.5293039050179207,0.19094071003400606,2232
ZA,9,0.5575276845761933,0.21223714908558963,2159
ZA,10,0.5222072670250895,0.21212354262498223,2232
ZA,11,0.4992941046296297,0.22535257151151875,2160
ZA,12,0.5146532612007169,0.21776103329895877,2232
